"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-08,159,monthly,108338,-0.4,-2.5,74.9,159,184278,0.1,-2.4,75.3,111250,-0.6,-2.5,74.6,83830,-0.6,-2.7,74.2,65793,-0.5,-2.7,79.6,96076,-0.5,-2.6,74.7,125085,-0.4,-2.5,75.1,102038,-0.4,-2.5,75.3,65,111580,-0.4,-2.5,74.6,94,220596,1.4,-3.8,76.0,16,105453,-0.6,-2.4,74.6,143,2016-08-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-09,159,monthly,109606,1.1,1.2,75.8,159,186597,1.4,1.3,76.3,112666,1.1,1.3,75.5,84632,1.0,1.0,74.9,66444,0.9,1.0,80.4,97169,1.1,1.1,75.5,126587,1.1,1.2,76.0,103196,1.1,1.1,76.2,54,112907,1.1,1.2,75.5,105,223025,2.8,1.1,76.8,28,106695,1.0,1.2,75.5,131,2016-09-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-10,183,monthly,108340,2.7,-1.2,74.9,183,185116,3.1,-0.8,75.7,111434,2.8,-1.1,74.7,83254,2.3,-1.6,73.6,65883,3.2,-0.8,79.8,95973,2.7,-1.2,74.6,125212,2.8,-1.1,75.2,101964,2.7,-1.2,75.3,62,111628,2.8,-1.1,74.7,121,221696,4.9,-0.6,76.4,39,105405,2.5,-1.2,74.5,144,2016-10-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-11,184,monthly,110693,4.0,2.2,76.5,184,189937,4.7,2.6,77.6,113857,4.0,2.2,76.3,84738,3.3,1.8,75.0,67301,4.5,2.2,81.5,97985,3.9,2.1,76.2,128017,4.1,2.2,76.9,104128,3.9,2.1,76.9,63,114082,4.0,2.2,76.3,121,228136,6.8,2.9,78.6,37,107618,3.7,2.1,76.1,147,2016-11-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-12,167,monthly,108961,2.1,-1.6,75.3,167,187395,3.0,-1.3,76.6,111952,2.0,-1.7,75.1,83332,1.3,-1.7,73.7,66537,3.2,-1.1,80.5,96453,2.0,-1.6,75.0,126014,2.2,-1.6,75.7,102489,2.0,-1.6,75.7,62,112304,2.1,-1.6,75.1,105,225838,4.5,-1.0,77.8,37,105876,1.8,-1.6,74.9,130,2016-12-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-01,134,monthly,106323,-2.4,-2.4,73.5,134,183245,-1.2,-2.2,74.9,109193,-2.6,-2.5,73.2,81258,-3.1,-2.5,71.9,64738,-1.6,-2.7,78.4,94122,-2.4,-2.4,73.2,122957,-2.3,-2.4,73.8,99953,-2.4,-2.5,73.8,54,109617,-2.3,-2.4,73.3,80,221887,0.5,-1.7,76.4,21,103243,-2.6,-2.5,73.0,113,2017-01-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-02,119,monthly,107116,-1.1,0.7,74.0,119,184442,0.0,0.7,75.4,109834,-1.5,0.6,73.6,82023,-1.8,0.9,72.6,65749,0.2,1.6,79.6,94871,-1.2,0.8,73.8,123816,-1.1,0.7,74.3,100752,-1.2,0.8,74.4,47,110395,-1.1,0.7,73.8,72,223889,2.0,0.9,77.1,19,103986,-1.5,0.7,73.5,100,2017-02-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-03,168,monthly,106521,-0.9,-0.6,73.6,168,183600,0.4,-0.5,75.1,109290,-1.3,-0.5,73.3,81434,-1.7,-0.7,72.0,65292,-0.2,-0.7,79.0,94316,-1.0,-0.6,73.3,123163,-0.9,-0.5,73.9,100186,-1.1,-0.6,74.0,73,109782,-0.9,-0.6,73.4,95,223426,4.0,-0.2,77.0,30,103367,-1.4,-0.6,73.1,138,2017-03-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-04,145,monthly,109526,0.2,2.8,75.7,145,188361,1.2,2.6,77.0,112301,-0.1,2.8,75.3,83888,-0.5,3.0,74.2,67475,1.5,3.3,81.7,97014,0.1,2.9,75.4,126592,0.3,2.8,76.0,103099,0.1,2.9,76.1,56,112822,0.2,2.8,75.5,89,228011,3.5,2.1,78.5,10,106347,-0.2,2.9,75.2,135,2017-04-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-05,158,monthly,109086,-0.6,-0.4,75.4,158,187056,0.2,-0.7,76.5,112022,-0.6,-0.2,75.1,83532,-1.5,-0.4,73.9,67170,0.5,-0.5,81.3,96665,-0.7,-0.4,75.2,126035,-0.5,-0.4,75.7,102682,-0.6,-0.4,75.8,71,112370,-0.6,-0.4,75.2,87,226659,0.6,-0.6,78.1,37,105936,-0.7,-0.4,74.9,121,2017-05-01
