year,median_weekly_gbp,median_annual_gbp,ne_10 percentile_weekly_gbp,ne_25 percentile_weekly_gbp,ne_75 percentile_weekly_gbp,ne_90 percentile_weekly_gbp,ne_median_weekly_gbp,episode_id,region,ssi_estimated_wage_band,ssi_wage_source,comparability_note
2013,472.2,24554.0,271.5,344.7,667.4,877.1,472.2,redcar_2015,North East England,£25k-£35k,Evidence CSV estimate. Tata wages for comparison: £46k+ (Port Talbot). SSI wage data not published; steel sector median ~£30k for Teesside.,"ASHE median covers ALL full-time workers in North East. SSI steelworkers earned above regional median (skilled manual, union rates). Area wage fall of 0.5% real 2015-2017 vs +1.6% rest of NE is an underemployment proxy."
2014,476.7,24788.0,278.2,349.5,662.0,874.1,476.7,redcar_2015,North East England,£25k-£35k,Evidence CSV estimate. Tata wages for comparison: £46k+ (Port Talbot). SSI wage data not published; steel sector median ~£30k for Teesside.,"ASHE median covers ALL full-time workers in North East. SSI steelworkers earned above regional median (skilled manual, union rates). Area wage fall of 0.5% real 2015-2017 vs +1.6% rest of NE is an underemployment proxy."
2015,485.6,25251.0,287.7,358.7,679.4,881.8,485.6,redcar_2015,North East England,£25k-£35k,Evidence CSV estimate. Tata wages for comparison: £46k+ (Port Talbot). SSI wage data not published; steel sector median ~£30k for Teesside.,"ASHE median covers ALL full-time workers in North East. SSI steelworkers earned above regional median (skilled manual, union rates). Area wage fall of 0.5% real 2015-2017 vs +1.6% rest of NE is an underemployment proxy."
2016,492.4,25605.0,299.0,365.0,683.1,903.9,492.4,redcar_2015,North East England,£25k-£35k,Evidence CSV estimate. Tata wages for comparison: £46k+ (Port Talbot). SSI wage data not published; steel sector median ~£30k for Teesside.,"ASHE median covers ALL full-time workers in North East. SSI steelworkers earned above regional median (skilled manual, union rates). Area wage fall of 0.5% real 2015-2017 vs +1.6% rest of NE is an underemployment proxy."
2017,504.1,26213.0,308.9,374.9,707.0,933.7,504.1,redcar_2015,North East England,£25k-£35k,Evidence CSV estimate. Tata wages for comparison: £46k+ (Port Talbot). SSI wage data not published; steel sector median ~£30k for Teesside.,"ASHE median covers ALL full-time workers in North East. SSI steelworkers earned above regional median (skilled manual, union rates). Area wage fall of 0.5% real 2015-2017 vs +1.6% rest of NE is an underemployment proxy."
2018,511.1,26577.0,319.0,383.3,714.9,942.7,511.1,redcar_2015,North East England,£25k-£35k,Evidence CSV estimate. Tata wages for comparison: £46k+ (Port Talbot). SSI wage data not published; steel sector median ~£30k for Teesside.,"ASHE median covers ALL full-time workers in North East. SSI steelworkers earned above regional median (skilled manual, union rates). Area wage fall of 0.5% real 2015-2017 vs +1.6% rest of NE is an underemployment proxy."
